Time, A, B, Opcode, Out
46, 255, 255, 0, 254
52, 255, 255, 1, 255
58, 255, 255, 2, 0
64, 255, 255, 3, 255
70, 255, 255, 4, 255
76, 255, 255, 5, 255
82, 255, 255, 6, 254
88, 255, 255, 7, 127
94, 170, 85, 0, 255
100, 170, 85, 1, 0
106, 170, 85, 2, 85
112, 170, 85, 3, 84
118, 170, 85, 4, 0
124, 170, 85, 5, 255
130, 170, 85, 6, 84
136, 170, 85, 7, 85
142, 36, 129, 0, 165
148, 9, 99, 1, 109
154, 13, 141, 2, 128
160, 101, 18, 3, 82
166, 1, 13, 4, 1
172, 118, 61, 5, 127
178, 237, 140, 6, 218
184, 249, 198, 7, 124
